"Iperzola Ponteroncariale","{'Italy': 14}"
"Rionegro Águilas","{'Argentina': 4, 'Colombia': 122, 'Costa Rica': 4, 'France': 4, 'Guinea': 2, 'Equatorial Guinea': 2, 'Peru': 2, 'Paraguay': 2, 'Venezuela, Bolivarian Republic of': 4, 'America': 3}"
"C.S.D. Comunicaciones","{'Argentina': 26, 'Chile': 4, 'Costa Rica': 6, 'Spain': 4, 'Guatemala': 80, 'Guam': 15, 'Iran, Islamic Republic of': 1, 'Mexico': 2, 'Montenegro': 3, 'Panama': 2, 'Peru': 6, 'Paraguay': 2, 'Uruguay': 20, 'America': 12}"
"Al-Shabab FC (Riyadh)","{'United Arab Emirates': 3, 'Argentina': 14, 'Belgium': 4, 'Bahrain': 2, 'Brazil': 30, 'China': 2, 'Germany': 2, 'Egypt': 2, 'Spain': 6, 'France': 2, 'Croatia': 2, 'Indonesia': 2, 'India': 2, 'Iran, Islamic Republic of': 3, 'Iraq': 2, 'Jordan': 2, 'Japan': 3, 'Korea, Republic of': 1, 'Kuwait': 6, 'Lebanon': 2, 'Netherlands': 2, 'Oman': 4, 'Portugal': 10, 'Qatar': 2, 'Romania': 6, 'Saudi Arabia': 36, 'Syrian Arab Republic': 2, 'Tunisia': 6, 'Uruguay': 6, 'Uzbekistan': 2, 'South Korea': 3}"
"Club Olimpia","{'Argentina': 38, 'Brazil': 10, 'Chile': 4, 'Colombia': 12, 'Ecuador': 6, 'Spain': 4, 'Greece': 2, 'Guatemala': 6, 'Iran, Islamic Republic of': 3, 'Jersey': 3, 'Japan': 6, 'Montenegro': 3, 'Panama': 2, 'Peru': 2, 'Paraguay': 342, 'El Salvador': 2, 'Sweden': 2, 'Togo': 2, 'Uruguay': 56, 'Venezuela, Bolivarian Republic of': 1, 'America': 135}"
"En Avant Guingamp","{'Belarus': 2, 'Czechia': 1, 'Germany': 2, 'Finland': 2, 'France': 70, 'Georgia': 3, 'Greece': 2, 'Italy': 4, 'Oman': 2, 'Romania': 3, 'Ukraine': 3, 'Yugoslavia': 3, 'Russia': 6}"
"PFC CSKA Moscow","{'Belgium': 2, 'Bulgaria': 4, 'Belarus': 12, 'Brazil': 24, 'Czechia': 1, 'Spain': 4, 'Finland': 6, 'Croatia': 12, 'Iceland': 2, 'Israel': 4, 'Jersey': 9, 'Liberia': 2, 'Latvia': 6, 'Monaco': 8, 'Niger': 4, 'Nigeria': 4, 'Netherlands': 2, 'Oman': 84, 'Portugal': 8, 'Serbia': 8, 'Turkmenistan': 3, 'Ukraine': 15, 'United States': 2, 'Virgin Islands, British': 1, 'America': 3, 'Yugoslavia': 24, 'Russia': 777}"
"Türk Telekomspor","{'Azerbaijan': 4, 'Turkey': 72, 'Russia': 3}"
"SM Caen","{'Germany': 2, 'Denmark': 2, 'Spain': 4, 'France': 52, 'Jersey': 6, 'Netherlands': 2, 'America': 3}"
"Raja Casablanca","{'Burkina Faso': 3, 'Brazil': 2, 'Central African Republic': 3, 'Switzerland': 2, 'Cameroon': 4, 'Congo': 4, 'Germany': 2, 'Algeria': 6, 'Egypt': 12, 'France': 30, 'Jersey': 15, 'Korea, Republic of': 1, 'Kuwait': 6, 'Libya': 6, 'Morocco': 250, 'Qatar': 2, 'Saudi Arabia': 2, 'Chad': 12, 'Tunisia': 14, 'Tanzania, United Republic of': 1, 'Venezuela, Bolivarian Republic of': 1, 'South Africa': 10, 'Zambia': 2, 'America': 3, 'South Korea': 3}"
"Foggia Calcio","{'Benin': 6, 'China': 4, 'France': 6, 'Italy': 28, 'Oman': 14, 'Wales': 6, 'Russia': 3}"
"1. FC Magdeburg","{'Bulgaria': 2, 'Switzerland': 2, 'Czechia': 1, 'Germany': 34, 'Spain': 4, 'Finland': 4, 'France': 4, 'Hungary': 9, 'Iceland': 2, 'Italy': 10, 'Luxembourg': 4, 'Netherlands': 4, 'Norway': 2, 'Poland': 2, 'Portugal': 6, 'Slovakia': 2, 'Sweden': 2, 'England': 6, 'Wales': 6, 'Yugoslavia': 3, 'Turkey': 3, 'Russia': 9}"
"Le Mans Union Club 72","{'Belgium': 4, 'Benin': 2, 'Burkina Faso': 3, 'Brazil': 6, 'Cameroon': 4, 'Algeria': 2, 'France': 92, 'Gabon': 4, 'Guinea': 2, 'Japan': 3, 'Morocco': 2, 'Mali': 2, 'Montenegro': 3, 'Norway': 6}"
"Club Nacional de Football","{'Argentina': 28, 'Austria': 2, 'Belgium': 4, 'Bolivia, Plurinational State of': 1, 'Brazil': 14, 'Switzerland': 2, 'Chile': 2, 'Colombia': 8, 'Spain': 2, 'France': 2, 'Greece': 2, 'Honduras': 2, 'Hungary': 3, 'Italy': 2, 'Jersey': 12, 'Mexico': 2, 'Netherlands': 2, 'Oman': 6, 'Peru': 2, 'Portugal': 2, 'Paraguay': 14, 'Chad': 6, 'Uruguay': 574, 'United States': 6, 'Venezuela, Bolivarian Republic of': 2, 'England': 3, 'Scotland': 3, 'America': 129}"
"Jong PSV","{'Netherlands': 2}"
"Hércules CF","{'Argentina': 8, 'Spain': 190, 'France': 2, 'Greece': 2, 'Hungary': 9, 'Iran, Islamic Republic of': 1, 'Oman': 2, 'Paraguay': 8, 'Serbia': 8, 'Uruguay': 4, 'England': 6, 'Scotland': 3, 'Yugoslavia': 3}"
"Spartak Hradec Králové","{'Austria': 2, 'Czechia': 5, 'Hungary': 3, 'Slovakia': 4}"
"C.S. Marítimo","{'Angola': 4, 'Belgium': 4, 'Bulgaria': 2, 'Bosnia and Herzegovina': 2, 'Belarus': 2, 'Brazil': 22, 'Canada': 3, 'Switzerland': 2, 'China': 2, 'Spain': 6, 'France': 2, 'United Kingdom': 2, 'Greece': 2, 'Hungary': 3, 'Ireland': 3, 'Iran, Islamic Republic of': 4, 'Italy': 2, 'Jersey': 6, 'Netherlands': 2, 'Portugal': 222, 'Sweden': 2, 'Ukraine': 3, 'United States': 2, 'Venezuela, Bolivarian Republic of': 4, 'South Africa': 2, 'England': 9, 'Scotland': 3, 'Wales': 3, 'Russia': 3}"
"Al-Raed FC","{'Brazil': 2, 'China': 4, 'Oman': 2, 'Saudi Arabia': 16}"
"A.D. Turrialba","{'Costa Rica': 24}"
"Miami Americans","{'Jersey': 6, 'United States': 2, 'America': 48}"
"Kabuscorp S.C.P.","{'Angola': 90, 'Congo': 2}"
"Finspångs AIK","{'Sweden': 10}"
"IF Brommapojkarna","{'Finland': 4, 'Ireland': 3, 'Italy': 2, 'Jordan': 2, 'Peru': 2, 'Portugal': 2, 'Sweden': 84, 'England': 3, 'Northern Ireland': 3}"
"C.F. União de Lamas","{'Spain': 2, 'Portugal': 22}"
"Atlético Potosino","{'Chile': 4, 'Mexico': 8, 'Paraguay': 2}"
"Bakersfield Brigade","{'United States': 2, 'America': 9}"
"MSV Duisburg","{'Bulgaria': 4, 'Bosnia and Herzegovina': 2, 'Switzerland': 4, 'Germany': 106, 'Croatia': 2, 'Hungary': 3, 'Jersey': 3, 'Peru': 2}"
"Club de Deportes Santiago Wanderers","{'Argentina': 2, 'Chile': 158, 'Colombia': 2, 'Ecuador': 2, 'Ireland': 6, 'Peru': 4, 'Uruguay': 6, 'England': 3, 'America': 33}"
"Norwich City F.C.","{'United Arab Emirates': 3, 'Australia': 3, 'Bermuda': 3, 'Finland': 2, 'Greece': 2, 'Hong Kong': 2, 'North Macedonia': 2, 'Chad': 4, 'Thailand': 2, 'United States': 2, 'England': 45}"
"Lekhwiya","{'Qatar': 116, 'Saudi Arabia': 2}"
"Club Sport Colombia","{'Australia': 6, 'Chile': 2, 'Colombia': 22, 'Paraguay': 66}"
"SK Jugoslavija","{'Austria': 6, 'Hungary': 9, 'Jersey': 3, 'Mali': 10, 'Montenegro': 3, 'Serbia': 53, 'Slovakia': 2, 'England': 3, 'Yugoslavia': 66}"
"West Bromwich Albion F.C.","{'Argentina': 2, 'Australia': 3, 'Brazil': 2, 'Chile': 4, 'China': 14, 'Congo': 2, 'Denmark': 2, 'Spain': 2, 'United Kingdom': 2, 'French Guiana': 3, 'Croatia': 4, 'India': 2, 'Ireland': 24, 'Iran, Islamic Republic of': 1, 'Iceland': 2, 'Italy': 2, 'Jersey': 9, 'Malta': 2, 'Oman': 2, 'Senegal': 2, 'Thailand': 2, 'England': 231, 'Scotland': 24, 'Wales': 12, 'Northern Ireland': 15, 'America': 3}"
"Vatev Beloslav","{}"
"L.D.U. Portoviejo","{'Argentina': 10, 'Bolivia, Plurinational State of': 1, 'Ecuador': 64, 'Uruguay': 2}"
"Jeju United FC","{'Korea, Republic of': 4, 'South Korea': 12}"
"RB Leipzig","{'Austria': 40, 'Brazil': 4, 'Germany': 86, 'France': 2, 'Ghana': 6, 'Hungary': 15, 'Jersey': 18, 'Monaco': 4, 'Niger': 26, 'Oman': 6, 'Qatar': 2, 'Chad': 2, 'Ukraine': 3, 'United States': 6, 'America': 12, 'Russia': 48}"
"Ternana Calcio","{'France': 2, 'Italy': 10, 'Peru': 4}"
"Lupa Roma F.C.","{'France': 2, 'Italy': 8, 'Oman': 4}"
"Worcester City F.C.","{'Jordan': 2, 'England': 21}"
"Gaziantepspor","{'Belgium': 2, 'Belarus': 2, 'Spain': 2, 'Estonia': 2, 'France': 2, 'Hungary': 3, 'Israel': 4, 'Italy': 4, 'Moldova, Republic of': 1, 'Netherlands': 2, 'Poland': 2, 'Portugal': 2, 'America': 3, 'Turkey': 48}"
"S.C. Braga","{'Argentina': 8, 'Spain': 4, 'Hungary': 6, 'Monaco': 4, 'Portugal': 200, 'Qatar': 16, 'Chad': 4}"
"Jacksonville Tea Men","{'Canada': 6, 'Costa Rica': 2, 'Greece': 4, 'United States': 8, 'England': 12, 'America': 81}"
"Deportivo La Coruña","{'Argentina': 12, 'Bulgaria': 4, 'Bosnia and Herzegovina': 2, 'Brazil': 22, 'Canada': 3, 'Switzerland': 2, 'Chile': 2, 'Cameroon': 2, 'Colombia': 4, 'Costa Rica': 2, 'Czechia': 1, 'Spain': 142, 'Guinea': 2, 'Equatorial Guinea': 2, 'Croatia': 2, 'Iran, Islamic Republic of': 2, 'Israel': 2, 'Japan': 3, 'Morocco': 10, 'Monaco': 10, 'Mexico': 4, 'Niger': 2, 'Nigeria': 2, 'Netherlands': 8, 'Norway': 2, 'New Zealand': 3, 'Oman': 2, 'Poland': 4, 'Portugal': 18, 'Paraguay': 4, 'Romania': 3, 'Serbia': 2, 'Sweden': 2, 'Tunisia': 2, 'Uruguay': 10, 'England': 3, 'America': 3, 'Yugoslavia': 12, 'Turkey': 3, 'Russia': 6}"
"Adelaide Raiders SC","{'Australia': 150, 'Croatia': 82}"
"Seattle Sounders FC","{'Colombia': 4, 'Germany': 2, 'Egypt': 2, 'Spain': 2, 'Greenland': 3, 'Guatemala': 2, 'Honduras': 2, 'India': 8, 'Jersey': 126, 'Jordan': 58, 'Morocco': 2, 'Mexico': 12, 'Mali': 2, 'Oman': 6, 'Peru': 2, 'Philippines': 2, 'Portugal': 2, 'Paraguay': 2, 'Chad': 8, 'Uruguay': 10, 'United States': 28, 'America': 69}"
"FC Lokomotiv Moscow","{'Albania': 2, 'Armenia': 12, 'Azerbaijan': 2, 'Bosnia and Herzegovina': 6, 'Belarus': 24, 'Brazil': 2, 'Switzerland': 4, 'Cameroon': 2, 'Congo': 2, 'Costa Rica': 2, 'Czechia': 2, 'Germany': 6, 'Ecuador': 2, 'Estonia': 2, 'Finland': 2, 'France': 6, 'Georgia': 30, 'Ghana': 6, 'Guinea': 2, 'Croatia': 14, 'Iran, Islamic Republic of': 9, 'Italy': 4, 'Kazakhstan': 4, 'Kyrgyzstan': 2, 'Lithuania': 12, 'Morocco': 4, 'Monaco': 4, 'Moldova, Republic of': 1, 'Mali': 2, 'Montenegro': 18, 'Malawi': 2, 'Niger': 14, 'Nigeria': 14, 'Oman': 8, 'Peru': 4, 'Poland': 4, 'Portugal': 14, 'Romania': 3, 'Russian Federation': 3, 'Senegal': 10, 'Serbia': 22, 'Slovakia': 4, 'Slovenia': 2, 'Tajikistan': 24, 'Tunisia': 2, 'Ukraine': 18, 'Uzbekistan': 24, 'South Africa': 4, 'Scotland': 3, 'America': 6, 'Russia': 714}"
"Garforth Town A.F.C.","{'Brazil': 6, 'England': 15}"
"Kigwancha Sports Club","{'Korea, Democratic People\'s Republic of': 10, 'North Korea': 30}"
"Oakleigh Cannons FC","{'Australia': 39, 'India': 2, 'Jordan': 2}"
"Kecskeméti TE","{'Hungary': 216, 'Oman': 4, 'Romania': 6, 'Serbia': 4}"
"NK Olimpija Ljubljana","{'Austria': 8, 'Bosnia and Herzegovina': 4, 'Spain': 2, 'Croatia': 8, 'Ireland': 3, 'Iran, Islamic Republic of': 3, 'Italy': 2, 'Luxembourg': 2, 'Norway': 2, 'Oman': 18, 'Portugal': 2, 'Serbia': 12, 'Slovenia': 353, 'America': 3, 'Yugoslavia': 3}"
"Real C.D. España","{'Belize': 18, 'Brazil': 4, 'Costa Rica': 30, 'Spain': 8, 'Guatemala': 26, 'Honduras': 146, 'Italy': 2, 'Mexico': 8, 'Nicaragua': 8, 'Oman': 2, 'Panama': 2, 'El Salvador': 24, 'Chad': 4, 'Trinidad and Tobago': 4, 'United States': 4, 'America': 9}"
"União São João Esporte Clube","{'Brazil': 14, 'Japan': 3, 'Oman': 2}"
"KAA Gent","{'Albania': 2, 'Austria': 4, 'Belgium': 180, 'Bulgaria': 2, 'Bosnia and Herzegovina': 4, 'Belarus': 2, 'Canada': 3, 'Switzerland': 2, 'Congo': 4, 'Costa Rica': 4, 'Germany': 6, 'Denmark': 2, 'Egypt': 2, 'Spain': 6, 'France': 26, 'Ghana': 2, 'Croatia': 2, 'Hungary': 9, 'Iceland': 4, 'Israel': 6, 'Italy': 4, 'Jordan': 4, 'Luxembourg': 4, 'Morocco': 4, 'Mali': 2, 'Niger': 2, 'Nigeria': 2, 'Netherlands': 26, 'Norway': 6, 'Oman': 10, 'Portugal': 4, 'Romania': 15, 'Serbia': 4, 'Sweden': 4, 'Togo': 2, 'Ukraine': 9, 'England': 6, 'Scotland': 3, 'Turkey': 3, 'Russia': 12}"
"Piacenza Calcio","{'France': 2, 'Italy': 10, 'Peru': 4}"
"C.S. Herediano","{'Argentina': 8, 'Brazil': 16, 'Chile': 4, 'Colombia': 2, 'Costa Rica': 211, 'Cuba': 4, 'Czechia': 1, 'Spain': 20, 'United Kingdom': 2, 'Honduras': 4, 'Croatia': 2, 'Iran, Islamic Republic of': 2, 'Jamaica': 3, 'Jersey': 6, 'Korea, Republic of': 1, 'Liberia': 4, 'Mexico': 24, 'Peru': 2, 'Portugal': 2, 'El Salvador': 6, 'Uruguay': 20, 'United States': 4, 'England': 3, 'America': 12, 'South Korea': 3}"
"F.C. Bari 1908","{'Andorra': 4, 'Brazil': 2, 'France': 28, 'Italy': 14, 'Malaysia': 6}"
"CF Peralada","{'Spain': 12, 'Guinea': 4, 'Gambia': 2, 'Equatorial Guinea': 4, 'Palau': 2}"
"K. Boom F.C.","{'Belgium': 14}"
"Grêmio Esportivo Novorizontino","{'Brazil': 10}"
"Tecos F.C.","{'Argentina': 18, 'Austria': 2, 'Brazil': 14, 'Chile': 18, 'Cameroon': 2, 'Costa Rica': 4, 'Ecuador': 2, 'Spain': 4, 'Guatemala': 2, 'Honduras': 2, 'Hungary': 3, 'Kenya': 2, 'Mexico': 116, 'Oman': 2, 'Peru': 6, 'Paraguay': 8, 'Serbia': 6, 'Uruguay': 34, 'United States': 4, 'America': 3, 'Yugoslavia': 3}"
"Memphis Americans","{'Croatia': 2, 'Serbia': 2, 'United States': 2, 'America': 87}"
"Fenerbahçe S.K. (football)","{'Albania': 2, 'Azerbaijan': 4, 'Bulgaria': 2, 'Brazil': 8, 'Cyprus': 4, 'Czechia': 1, 'Germany': 2, 'Greece': 4, 'Hungary': 3, 'Monaco': 4, 'Moldova, Republic of': 1, 'Netherlands': 2, 'Oman': 16, 'Portugal': 2, 'Romania': 9, 'Serbia': 8, 'Uruguay': 2, 'Yemen': 2, 'England': 3, 'Yugoslavia': 6, 'Turkey': 78}"
"Neptunus","{'Netherlands': 10}"
"U.S. Cremonese","{'France': 4, 'Italy': 10}"
"OFK Beograd","{'Armenia': 2, 'Australia': 3, 'Austria': 2, 'Azerbaijan': 2, 'Bulgaria': 2, 'Bosnia and Herzegovina': 2, 'Belarus': 4, 'Cameroon': 2, 'Cyprus': 2, 'Spain': 4, 'Estonia': 4, 'France': 4, 'Croatia': 8, 'Hungary': 3, 'Kazakhstan': 2, 'Lithuania': 2, 'Latvia': 2, 'North Macedonia': 2, 'Malta': 2, 'Montenegro': 12, 'Oman': 12, 'Romania': 3, 'Serbia': 97, 'Slovakia': 2, 'Uganda': 2, 'United States': 2, 'Yugoslavia': 126, 'Turkey': 6}"
"FC Seoul","{'China': 6, 'Indonesia': 2, 'Jersey': 12, 'Japan': 3, 'Korea, Republic of': 25, 'Monaco': 4, 'Oman': 2, 'Portugal': 4, 'Qatar': 2, 'Thailand': 2, 'South Korea': 75, 'Turkey': 3}"
"Strojárne Martin","{}"
"Acapulco","{'Bahamas': 6, 'Canada': 6, 'Chile': 2, 'China': 6, 'Colombia': 6, 'Cuba': 4, 'Dominica': 2, 'Dominican Republic': 3, 'Ecuador': 4, 'Spain': 20, 'Finland': 4, 'France': 6, 'United Kingdom': 4, 'Indonesia': 2, 'India': 10, 'Israel': 10, 'Italy': 2, 'Japan': 21, 'Korea, Republic of': 1, 'Mexico': 244, 'Oman': 2, 'Panama': 4, 'Peru': 2, 'Philippines': 19, 'Poland': 2, 'Russian Federation': 3, 'Thailand': 2, 'Ukraine': 3, 'United States': 16, 'Wales': 3, 'America': 75, 'South Korea': 3, 'Russia': 3}"
"Lierse SK","{'Belgium': 74, 'Germany': 2, 'Egypt': 8, 'France': 4, 'Hungary': 6, 'Netherlands': 14, 'Norway': 4, 'Slovenia': 2, 'England': 6, 'Yugoslavia': 3}"
"JS Saint-Pierroise","{'Cameroon': 2, 'Comoros': 2, 'France': 24, 'Madagascar': 12}"
"SS Lazio","{'Bulgaria': 4, 'China': 6, 'France': 4, 'United Kingdom': 2, 'Greece': 4, 'Italy': 40, 'Jersey': 3, 'Japan': 3, 'Mali': 2, 'Malta': 2, 'Oman': 6, 'Peru': 4}"
"NK Lokomotiva","{'Croatia': 128, 'Yugoslavia': 9}"
"Stade Quimpérois","{'France': 38, 'Jordan': 2}"
"HŠK Zrinjski Mostar","{'Austria': 2, 'Bulgaria': 2, 'Bosnia and Herzegovina': 208, 'Canada': 3, 'Germany': 2, 'Croatia': 28, 'Hungary': 3, 'Iran, Islamic Republic of': 2, 'Iceland': 2, 'Israel': 2, 'Jersey': 3, 'Luxembourg': 2, 'Montenegro': 3, 'Serbia': 2, 'Sweden': 2, 'Yugoslavia': 21}"
"Galatasaray S.K. (football team)","{'Albania': 2, 'Australia': 3, 'Belgium': 2, 'Brazil': 6, 'Switzerland': 2, 'Germany': 6, 'Spain': 6, 'France': 2, 'United Kingdom': 14, 'Greece': 2, 'India': 4, 'Iran, Islamic Republic of': 1, 'Italy': 4, 'Oman': 6, 'Romania': 3, 'United States': 8, 'England': 3, 'Turkey': 87, 'Russia': 3}"
"Puebla F.C.","{'Argentina': 24, 'Austria': 4, 'Brazil': 20, 'Chile': 20, 'Colombia': 2, 'Costa Rica': 2, 'Spain': 22, 'Guatemala': 2, 'Jersey': 9, 'Mexico': 126, 'Oman': 2, 'Peru': 2, 'Palau': 2, 'Paraguay': 2, 'Trinidad and Tobago': 4, 'Uruguay': 24, 'Venezuela, Bolivarian Republic of': 1, 'America': 42, 'Yugoslavia': 3}"
"Club Atlético Vélez Sarsfield","{'Argentina': 156, 'Brazil': 8, 'Chile': 12, 'Colombia': 4, 'Costa Rica': 2, 'Cuba': 2, 'Italy': 2, 'Jersey': 12, 'Japan': 3, 'Mexico': 2, 'Peru': 12, 'Paraguay': 4, 'Uruguay': 14, 'United States': 2, 'Venezuela, Bolivarian Republic of': 1, 'England': 6, 'America': 111}"
"A.C. Lumezzane","{'Angola': 4, 'Italy': 4, 'Oman': 2}"
"Kőbányai TC","{}"
"Modena FC","{'Brazil': 2, 'Italy': 12, 'Oman': 2, 'Peru': 4}"
"Fall River F.C. (1922-1931)","{'Austria': 4, 'Canada': 3, 'Hungary': 3, 'Slovakia': 2, 'United States': 10, 'England': 9, 'America': 147}"
"Quilmes Atlético Club","{'Argentina': 52, 'United Kingdom': 6, 'Iran, Islamic Republic of': 1, 'Jersey': 3, 'England': 3}"
"Greenock Morton F.C.","{'Argentina': 4, 'Comoros': 4, 'United Kingdom': 2, 'Jordan': 6, 'Slovakia': 2, 'England': 15, 'Scotland': 51, 'Wales': 3}"
"Prudentópolis Esporte Clube","{'Brazil': 6, 'America': 6}"
"PAOK FC","{'Australia': 3, 'Austria': 14, 'Brazil': 2, 'Switzerland': 2, 'Germany': 2, 'France': 2, 'Georgia': 33, 'Greece': 240, 'Croatia': 2, 'Hungary': 6, 'India': 2, 'Israel': 2, 'Italy': 2, 'Jersey': 18, 'Lao People\'s Democratic Republic': 6, 'Monaco': 4, 'Mali': 10, 'Oman': 10, 'Portugal': 8, 'Romania': 9, 'Serbia': 10, 'Slovakia': 2, 'Uruguay': 6, 'Turkey': 3, 'Russia': 6}"
"Novara Calcio","{'Argentina': 2, 'Chile': 4, 'France': 2, 'Hungary': 6, 'Italy': 68}"
"El-Kanemi Warriors","{'Niger': 78, 'Nigeria': 78}"
"Atlético Morelia","{'Argentina': 28, 'Brazil': 4, 'Chile': 6, 'Germany': 2, 'Hungary': 3, 'Israel': 2, 'Mexico': 82, 'Malta': 2, 'Oman': 4, 'Peru': 2, 'Uruguay': 8, 'Venezuela, Bolivarian Republic of': 1, 'England': 9, 'America': 30}"
"Clubul Atletic Oradea","{'Austria': 6, 'Switzerland': 4, 'Chile': 4, 'France': 8, 'Hungary': 72, 'Oman': 172, 'Romania': 240, 'England': 3, 'Yugoslavia': 6}"
"Tubantia Borgerhout VK","{'Belgium': 10}"
"West Ham United F.C.","{'Argentina': 4, 'Austria': 6, 'Brazil': 4, 'Spain': 2, 'Finland': 2, 'France': 6, 'United Kingdom': 6, 'Gibraltar': 3, 'Croatia': 4, 'Ireland': 18, 'Iceland': 6, 'Israel': 2, 'Italy': 10, 'Jamaica': 3, 'Japan': 6, 'Monaco': 4, 'Mali': 2, 'New Zealand': 3, 'Oman': 6, 'Poland': 2, 'Slovakia': 2, 'Trinidad and Tobago': 2, 'England': 495, 'Scotland': 21, 'Wales': 3, 'Northern Ireland': 9, 'America': 15}"
"Deportivo Toluca F.C.","{'Albania': 2, 'Brazil': 4, 'Chile': 2, 'Colombia': 2, 'Costa Rica': 2, 'Ecuador': 2, 'Spain': 2, 'Greece': 2, 'Iran, Islamic Republic of': 1, 'Israel': 8, 'Jersey': 9, 'Jordan': 2, 'Mexico': 46, 'Paraguay': 4, 'Ukraine': 3, 'Uruguay': 6, 'United States': 2, 'America': 66, 'Yugoslavia': 9}"
"Yokohama F. Marinos","{'Argentina': 20, 'Australia': 6, 'Bolivia, Plurinational State of': 1, 'China': 4, 'Spain': 4, 'France': 4, 'Croatia': 4, 'Jersey': 3, 'Japan': 222, 'Korea, Republic of': 1, 'Malaysia': 3, 'Portugal': 2, 'Serbia': 2, 'Chad': 4, 'Thailand': 2, 'Uruguay': 2, 'South Korea': 3}"
"AC Lugano","{'Switzerland': 10, 'France': 4, 'Latvia': 2, 'Oman': 2, 'America': 3}"
"CSA Steaua București","{'Oman': 86, 'Romania': 129}"
"NK Dravograd","{'Slovenia': 34}"
"Vejle BK","{'Albania': 4, 'Belgium': 2, 'Brazil': 10, 'Denmark': 176, 'Spain': 4, 'France': 2, 'Croatia': 4, 'Iran, Islamic Republic of': 1, 'Italy': 2, 'Moldova, Republic of': 2, 'Niger': 2, 'Nigeria': 2, 'Oman': 4, 'Romania': 6, 'Sweden': 10, 'Tunisia': 2, 'America': 3, 'Russia': 3}"
"Unión La Calera","{'Argentina': 22, 'Chile': 268, 'Ecuador': 2, 'Peru': 2, 'Paraguay': 2, 'El Salvador': 2, 'Uruguay': 6, 'America': 42}"
"Proodeftiki FC","{'Albania': 6, 'Armenia': 2, 'Cyprus': 2, 'Greece': 48, 'Liberia': 2, 'Syrian Arab Republic': 5, 'Ukraine': 3, 'Uzbekistan': 2}"
"ATK (football club)","{'Argentina': 4, 'Armenia': 2, 'Australia': 3, 'Bangladesh': 6, 'Botswana': 2, 'Czechia': 1, 'Spain': 2, 'India': 454, 'Iran, Islamic Republic of': 3, 'Jersey': 24, 'Portugal': 14, 'South Africa': 2, 'England': 3}"
"Werribee City FC","{'Australia': 24}"
"AS Aix","{'France': 4}"
"Club Atlético Colegiales (Argentina)","{'Argentina': 118, 'Jersey': 3, 'Paraguay': 6, 'Uruguay': 4}"
"Daegu FC","{'Brazil': 4, 'Korea, Republic of': 15, 'South Korea': 45, 'Turkey': 3}"
"Germinal Ekeren","{'Austria': 2, 'Azerbaijan': 4, 'Belgium': 46, 'Canada': 3, 'Switzerland': 6, 'Germany': 2, 'France': 2, 'Faroe Islands': 3, 'Kenya': 2, 'Mali': 6, 'Netherlands': 4, 'Norway': 2, 'Oman': 2, 'Romania': 3, 'Scotland': 6}"
"US Triestina","{'Austria': 2, 'Germany': 2, 'France': 6, 'Hungary': 15, 'Italy': 162, 'Jersey': 3, 'Oman': 4}"
"Gårda BK","{'Sweden': 18}"
"New York Red Bulls","{'Argentina': 2, 'Australia': 6, 'Austria': 12, 'Bolivia, Plurinational State of': 1, 'Brazil': 24, 'Canada': 3, 'Colombia': 12, 'Costa Rica': 4, 'Germany': 8, 'Ecuador': 4, 'Spain': 2, 'Estonia': 6, 'Finland': 2, 'France': 6, 'Guatemala': 2, 'Honduras': 2, 'Iran, Islamic Republic of': 1, 'Israel': 4, 'Italy': 4, 'Jamaica': 12, 'Jersey': 108, 'Mexico': 2, 'Netherlands': 2, 'Norway': 6, 'Portugal': 6, 'Paraguay': 2, 'Sweden': 4, 'Trinidad and Tobago': 2, 'Ukraine': 3, 'United States': 42, 'Venezuela, Bolivarian Republic of': 3, 'South Africa': 2, 'England': 48, 'Scotland': 6, 'America': 48, 'Yugoslavia': 6}"
"Burgos CF (I)","{'Spain': 10, 'Portugal': 2}"
"FC Pyunik","{'Argentina': 2, 'Armenia': 330, 'Brazil': 2, 'Cameroon': 2, 'Gibraltar': 3, 'Jersey': 9, 'Kazakhstan': 2, 'Moldova, Republic of': 1, 'Mali': 2, 'Oman': 10, 'Romania': 3, 'Slovakia': 2, 'Russia': 9}"
"Warta Poznań","{'Austria': 4, 'Germany': 2, 'Hungary': 6, 'Mali': 4, 'Oman': 4, 'Poland': 172, 'America': 3, 'Russia': 6}"
"Chelsea F.C.","{'Brazil': 4, 'Canada': 6, 'France': 2, 'United Kingdom': 14, 'India': 6, 'Japan': 3, 'Montenegro': 3, 'Malaysia': 12, 'Oman': 94, 'Ukraine': 36, 'England': 120, 'Wales': 6, 'America': 12, 'Russia': 63}"
"Real Sociedad","{'Andorra': 4, 'Austria': 2, 'Bulgaria': 2, 'Chile': 4, 'Spain': 272, 'France': 6, 'United Kingdom': 2, 'Hungary': 3, 'Ireland': 15, 'Iceland': 2, 'Korea, Republic of': 1, 'Lithuania': 2, 'Mexico': 2, 'Mali': 2, 'Montenegro': 3, 'Niger': 2, 'Nigeria': 2, 'Netherlands': 4, 'Oman': 2, 'Panama': 2, 'Portugal': 2, 'Romania': 3, 'Serbia': 6, 'Sweden': 6, 'Uruguay': 4, 'England': 3, 'Scotland': 3, 'Wales': 12, 'South Korea': 3, 'Turkey': 6, 'Russia': 6}"
