"NK TOŠK Tešanj","{'Bosnia and Herzegovina': 44}"
"Southport F.C.","{'Australia': 6, 'Ireland': 3, 'Jersey': 3, 'Jordan': 16, 'England': 27, 'Northern Ireland': 3}"
"Kecskeméti TE","{'Hungary': 216, 'Oman': 4, 'Romania': 6, 'Serbia': 4}"
"Modena F.C.","{'Brazil': 2, 'Italy': 12, 'Oman': 2, 'Peru': 4}"
"Club Atlético Platense","{'Argentina': 10, 'Monaco': 4}"
"South Florida Sun","{'Haiti': 4, 'Peru': 2, 'America': 27}"
"Club Universidad Nacional","{'Argentina': 12, 'Brazil': 10, 'Chile': 2, 'Costa Rica': 2, 'Spain': 4, 'Honduras': 2, 'Hungary': 9, 'Israel': 8, 'Mexico': 100, 'Peru': 4, 'Portugal': 4, 'El Salvador': 2, 'Serbia': 2, 'Trinidad and Tobago': 2, 'America': 33, 'Yugoslavia': 3}"
"Montpellier HSC","{'Brazil': 2, 'Colombia': 2, 'Algeria': 4, 'France': 38, 'Jordan': 2, 'Senegal': 4}"
"Pyramids FC","{'United Arab Emirates': 3, 'Congo': 4, 'Egypt': 120, 'Croatia': 2, 'Morocco': 2, 'Togo': 2, 'South Africa': 2}"
"Centro Iqueño","{'Peru': 78}"
"Västra Frölunda IF","{'Sweden': 58}"
"Tromsø IL","{'Austria': 6, 'Azerbaijan': 2, 'Belgium': 2, 'Belarus': 2, 'Switzerland': 4, 'Denmark': 2, 'Spain': 4, 'France': 2, 'Faroe Islands': 3, 'Croatia': 8, 'Hungary': 3, 'Italy': 2, 'Jersey': 3, 'Luxembourg': 2, 'Latvia': 4, 'Montenegro': 3, 'Norway': 18, 'Oman': 2, 'Romania': 3, 'Serbia': 4, 'Slovenia': 6, 'Sweden': 4, 'Ukraine': 6, 'England': 3, 'Scotland': 6, 'Turkey': 6}"
"FC St. Veit","{'Austria': 12}"
":fr:Union sportive de Lège-Cap-Ferret","{}"
"FC Swarovski Tirol","{'Austria': 52, 'Germany': 2, 'Portugal': 2}"
"Club Deportivo Marte","{'Mexico': 10, 'Oman': 2, 'Uruguay': 2}"
"Olympique Marseille","{'Armenia': 2, 'Brazil': 2, 'France': 128, 'Italy': 2, 'Jordan': 4, 'Morocco': 2, 'Monaco': 12, 'Tunisia': 2, 'America': 9}"
"Centro Gallego","{}"
"Fenerbahçe S.K. (football team)","{'Albania': 2, 'Azerbaijan': 4, 'Bulgaria': 2, 'Brazil': 8, 'Cyprus': 4, 'Czechia': 1, 'Germany': 2, 'Greece': 4, 'Hungary': 3, 'Monaco': 4, 'Moldova, Republic of': 1, 'Netherlands': 2, 'Oman': 16, 'Portugal': 2, 'Romania': 9, 'Serbia': 8, 'Uruguay': 2, 'Yemen': 2, 'England': 3, 'Yugoslavia': 6, 'Turkey': 78}"
"Huachipato","{'Argentina': 26, 'Bolivia, Plurinational State of': 2, 'Brazil': 4, 'Chile': 314, 'Ecuador': 2, 'Croatia': 2, 'Paraguay': 6, 'Chad': 2, 'Uruguay': 2, 'Venezuela, Bolivarian Republic of': 1, 'America': 69}"
"MC Alger","{'Belgium': 4, 'Switzerland': 2, 'Algeria': 198, 'Egypt': 2, 'France': 26, 'Guinea': 2, 'Iraq': 2, 'Italy': 4, 'Kenya': 2, 'Libya': 3, 'Mali': 8, 'Niger': 2, 'Nigeria': 2, 'Portugal': 2, 'Togo': 4, 'Tunisia': 4}"
"C.D. Operário","{'Angola': 2, 'Brazil': 6, 'Chile': 2, 'Cameroon': 2, 'Portugal': 44, 'Chad': 8}"
"Chicago Fire S.C.","{'Argentina': 2, 'Belgium': 2, 'Brazil': 2, 'Canada': 3, 'Switzerland': 4, 'Colombia': 2, 'Costa Rica': 2, 'France': 6, 'Italy': 2, 'Jamaica': 3, 'Jersey': 33, 'Mexico': 6, 'Mali': 2, 'Oman': 2, 'El Salvador': 4, 'Serbia': 4, 'Chad': 2, 'Uruguay': 2, 'United States': 20, 'Saint Vincent and the Grenadines': 3, 'England': 30, 'America': 42}"
"C.F. Monterrey","{'Argentina': 40, 'Brazil': 20, 'Chile': 16, 'Colombia': 8, 'Ecuador': 4, 'Spain': 10, 'Ireland': 3, 'Jersey': 3, 'Mexico': 198, 'Panama': 2, 'Peru': 2, 'Portugal': 2, 'Paraguay': 4, 'Uruguay': 24, 'England': 3, 'America': 27}"
"FK Željezničar Sarajevo","{'Bosnia and Herzegovina': 238, 'Ghana': 2, 'Croatia': 4, 'Hungary': 3, 'Iran, Islamic Republic of': 2, 'Israel': 2, 'Italy': 4, "Lao People's Democratic Republic": 1, 'Mali': 2, 'Serbia': 4, 'Yugoslavia': 30}"
"Brescia Calcio","{'Austria': 4, 'Czechia': 1, 'Spain': 2, 'France': 2, 'Hungary': 3, 'Italy': 16, 'Oman': 4, 'Romania': 6, 'Wales': 3}"
"Daejeon Korail FC","{'Japan': 3, 'Korea, Republic of': 7, 'South Korea': 21}"
"Houston Dynamo","{'Bulgaria': 4, 'Bermuda': 3, 'Brazil': 2, 'Canada': 3, 'Colombia': 2, 'Costa Rica': 2, 'Croatia': 2, 'Ireland': 3, 'Iran, Islamic Republic of': 2, 'Jersey': 9, 'Jordan': 2, 'Mexico': 6, 'Chad': 2, 'United States': 20, 'England': 12, 'America': 27}"
"Bradford Park Avenue A.F.C.","{'Jordan': 2, 'England': 120, 'Scotland': 24, 'Wales': 3, 'America': 3}"
"Brisbane Roar FC","{'Australia': 216, 'Greenland': 3, 'Indonesia': 6, 'Jersey': 6, 'Jordan': 10, 'Mali': 2, 'Netherlands': 2, 'New Zealand': 6, 'Chad': 2, 'America': 6}"
"UNAM Pumas","{'Argentina': 12, 'Brazil': 10, 'Chile': 2, 'Costa Rica': 2, 'Spain': 4, 'Honduras': 2, 'Hungary': 9, 'Israel': 8, 'Mexico': 100, 'Peru': 4, 'Portugal': 4, 'El Salvador': 2, 'Serbia': 2, 'Trinidad and Tobago': 2, 'America': 33, 'Yugoslavia': 3}"
"FC Smena Komsomolsk-na-Amure","{}"
"Deportivo de La Coruña","{'Argentina': 12, 'Bulgaria': 4, 'Bosnia and Herzegovina': 2, 'Brazil': 22, 'Canada': 3, 'Switzerland': 2, 'Chile': 2, 'Cameroon': 2, 'Colombia': 4, 'Costa Rica': 2, 'Czechia': 1, 'Spain': 142, 'Guinea': 2, 'Equatorial Guinea': 2, 'Croatia': 2, 'Iran, Islamic Republic of': 2, 'Israel': 2, 'Japan': 3, 'Morocco': 10, 'Monaco': 10, 'Mexico': 4, 'Niger': 2, 'Nigeria': 2, 'Netherlands': 8, 'Norway': 2, 'New Zealand': 3, 'Oman': 2, 'Poland': 4, 'Portugal': 18, 'Paraguay': 4, 'Romania': 3, 'Serbia': 2, 'Sweden': 2, 'Tunisia': 2, 'Uruguay': 10, 'England': 3, 'America': 3, 'Yugoslavia': 9, 'Turkey': 3}"
"FC CSKA Kyiv","{'Belgium': 2, 'Finland': 2, 'Ireland': 3, 'Montenegro': 3, 'Serbia': 2, 'Ukraine': 69}"
"Aris Limassol FC","{'Cyprus': 14, 'Greece': 2, 'Slovakia': 2}"
"PSV Chemnitz","{'Germany': 6}"
"Telford United F.C.","{'England': 9}"
"Cape Town Spurs F.C.","{'Burkina Faso': 3, 'Cameroon': 12, 'Germany': 2, 'Egypt': 2, 'Guinea': 2, 'Jersey': 9, 'Morocco': 2, 'Niger': 2, 'Nigeria': 2, 'Netherlands': 18, 'Norway': 2, 'Serbia': 2, 'Seychelles': 2, 'South Africa': 88, 'Zimbabwe': 8, 'England': 3, 'Turkey': 15}"
"Tigres UANL","{'Argentina': 46, 'Brazil': 50, 'Chile': 24, 'Colombia': 18, 'Ecuador': 6, 'France': 16, 'Hungary': 3, 'Israel': 10, 'Jersey': 6, 'Mexico': 202, 'Panama': 2, 'Peru': 8, 'Portugal': 2, 'Paraguay': 8, 'Qatar': 2, 'Uruguay': 20, 'Venezuela, Bolivarian Republic of': 1, 'America': 24}"
"Al Qadisiya Kuwait","{'Bahrain': 10, 'Bosnia and Herzegovina': 4, 'Brazil': 4, 'Denmark': 2, 'Algeria': 2, 'Egypt': 6, 'Spain': 4, 'Croatia': 4, 'Indonesia': 6, 'India': 4, 'Iraq': 2, 'Italy': 2, 'Jordan': 4, 'Kuwait': 230, 'Lebanon': 4, 'Moldova, Republic of': 1, 'Mali': 2, 'Malaysia': 3, 'Netherlands': 4, 'Oman': 4, 'Portugal': 2, 'Serbia': 4, 'Syrian Arab Republic': 1, 'Tajikistan': 2, 'Turkmenistan': 3, 'Viet Nam': 1, 'England': 9, 'Scotland': 3, 'Yugoslavia': 15}"
"ASC Jeanne d'Arc","{'Burkina Faso': 3, 'France': 2, 'Gambia': 2, 'Liberia': 2, 'Mali': 6, 'Mauritania': 2, 'Senegal': 126}"
"Alexandra United","{}"
"K. Beerschot V.A.C.","{'Belgium': 12}"
"FC Ljubljana","{'Slovenia': 28}"
"SVS Linz","{}"
"FC Den Bosch","{'Belgium': 2, 'Georgia': 3, 'Israel': 4, 'Jordan': 4, 'Netherlands': 84, 'Poland': 2}"
"FC Kärnten","{'Austria': 70}"
"Steel Azin F.C.","{'Cameroon': 2, 'Iran, Islamic Republic of': 43, 'Netherlands': 4, 'Serbia': 2}"
"Getafe CF","{'Argentina': 2, 'Australia': 3, 'Czechia': 1, 'Denmark': 2, 'Spain': 30, 'Finland': 2, 'Iran, Islamic Republic of': 1, 'Italy': 2, 'Mexico': 2, 'Oman': 2, 'Sweden': 2, 'United States': 2, 'Venezuela, Bolivarian Republic of': 1, 'Scotland': 3}"
"Ranchers Bees","{'Niger': 102, 'Nigeria': 102}"
"SV Sodingen","{'Germany': 8}"
"NAC Breda","{'Belgium': 2, 'Bosnia and Herzegovina': 2, 'Germany': 8, 'Hungary': 3, 'Netherlands': 124, 'Oman': 2, 'Poland': 2, 'England': 6}"
"1. FC Lokomotive Leipzig","{'Austria': 8, 'Belgium': 2, 'Switzerland': 4, 'Germany': 32, 'Denmark': 2, 'Spain': 4, 'France': 6, 'Hungary': 6, 'Ireland': 12, 'Italy': 6, 'Netherlands': 2, 'Norway': 4, 'Oman': 2, 'Portugal': 2, 'Romania': 3, 'Sweden': 2, 'England': 15, 'Scotland': 9, 'Wales': 3, 'Northern Ireland': 12, 'Yugoslavia': 6}"
"Al-Qadsiah FC","{'United Arab Emirates': 3, 'Bahrain': 4, 'China': 12, 'Algeria': 2, 'Hong Kong': 2, 'Iraq': 2, 'Morocco': 2, 'Qatar': 4, 'Saudi Arabia': 30, 'Sudan': 4}"
"KAA Gent","{'Albania': 2, 'Austria': 4, 'Belgium': 180, 'Bulgaria': 2, 'Bosnia and Herzegovina': 4, 'Belarus': 2, 'Canada': 3, 'Switzerland': 2, 'Congo': 4, 'Costa Rica': 4, 'Germany': 6, 'Denmark': 2, 'Egypt': 2, 'Spain': 6, 'France': 26, 'Ghana': 2, 'Croatia': 2, 'Hungary': 9, 'Iceland': 4, 'Israel': 6, 'Italy': 4, 'Jordan': 4, 'Luxembourg': 4, 'Morocco': 4, 'Mali': 2, 'Niger': 2, 'Nigeria': 2, 'Netherlands': 26, 'Norway': 6, 'Oman': 10, 'Portugal': 4, 'Romania': 15, 'Serbia': 4, 'Sweden': 4, 'Togo': 2, 'Ukraine': 9, 'England': 6, 'Scotland': 3, 'Turkey': 3}"
"Tauro F.C.","{'Argentina': 2, 'Colombia': 12, 'Italy': 2, 'Jersey': 3, 'Panama': 76, 'Uruguay': 4, 'Venezuela, Bolivarian Republic of': 2, 'America': 18}"
"Vancouver Whitecaps FC","{'Brazil': 4, 'Canada': 93, 'Cuba': 2, 'Iceland': 4, 'Jersey': 36, 'Jordan': 4, 'Oman': 2, 'United States': 8, 'England': 9, 'America': 15}"
"Victoria Roman","{}"
"Fort Lauderdale Strikers (2006-2016)","{'Austria': 6, 'Bermuda': 3, 'Brazil': 4, 'India': 2, 'Jamaica': 3, 'Jersey': 3, 'United States': 2, 'America': 81}"
"A.S.D. Junior Biellese Libertas","{'Italy': 8}"
"SK Kladno","{'Austria': 6, 'Belgium': 2, 'Chile': 2, 'Czechia': 29, 'Germany': 2, 'Algeria': 2, 'France': 2, 'Hungary': 3, 'Iceland': 2, 'Italy': 8, 'Norway': 2, 'Poland': 2, 'Sudan': 4, 'Slovakia': 2, 'England': 3, 'America': 3, 'Yugoslavia': 6}"
"Oxford United F.C.","{'Argentina': 2, 'United Kingdom': 4, 'Indonesia': 2, 'India': 22, 'Ireland': 6, 'Jordan': 2, 'Oman': 2, 'Sweden': 2, 'Thailand': 12, 'England': 57, 'Wales': 3, 'Northern Ireland': 6, 'America': 3}"
"USM El Harrach","{'Algeria': 34}"
"UD Las Palmas Atlético","{'Spain': 4}"
"Sporting CP","{'Angola': 12, 'Bulgaria': 2, 'Brazil': 4, 'Germany': 4, 'Algeria': 10, 'France': 2, 'Hungary': 6, 'Israel': 2, 'Macao': 4, 'Mozambique': 6, 'Oman': 4, 'Portugal': 324, 'Qatar': 2, 'Romania': 3, 'Chad': 2, 'Uruguay': 2, 'United States': 2, 'England': 18, 'Yugoslavia': 3}"
"Stade Quimpérois","{'France': 38, 'Jordan': 2}"
"Olbia Calcio 1905","{'France': 2, 'Italy': 8, 'Oman': 2}"
"Reading F.C.","{'Argentina': 4, 'Antigua and Barbuda': 3, 'Barbados': 3, 'China': 6, 'Spain': 2, 'Croatia': 4, 'Ireland': 18, 'Iceland': 10, 'Italy': 6, 'Korea, Republic of': 1, 'Senegal': 2, 'Singapore': 2, 'Serbia': 2, 'Thailand': 4, 'United States': 4, 'Zimbabwe': 4, 'England': 150, 'Scotland': 6, 'Wales': 12, 'Northern Ireland': 9, 'South Korea': 3}"
"Ergotelis F.C.","{'Albania': 2, 'Argentina': 2, 'Austria': 6, 'Belgium': 2, 'Bosnia and Herzegovina': 2, 'Brazil': 4, 'Cyprus': 8, 'Egypt': 8, 'Spain': 2, 'France': 2, 'Guinea': 2, 'Greece': 258, 'Croatia': 2, 'Italy': 4, 'Jersey': 3, "Lao People's Democratic Republic": 4, 'Latvia': 4, 'Mali': 4, 'Niger': 8, 'Nigeria': 8, 'Netherlands': 2, 'Oman': 4, 'Portugal': 2, 'Romania': 3, 'Serbia': 2, 'Uruguay': 2, 'America': 3}"
"Frankston Pines FC","{'Australia': 15}"
"NK Poštar Zagreb","{}"
"CD Ciempozuelos","{'Spain': 10}"
"SC Heerenveen","{'Australia': 3, 'Austria': 2, 'Belgium': 4, 'Bulgaria': 2, 'Brazil': 4, 'Canada': 9, 'Czechia': 3, 'Germany': 6, 'Denmark': 20, 'Estonia': 2, 'Finland': 10, 'Ghana': 2, 'Greece': 2, 'Croatia': 2, 'Haiti': 2, 'Hungary': 6, 'Iran, Islamic Republic of': 1, 'Iceland': 4, 'Israel': 2, 'Japan': 3, 'Morocco': 12, 'Niger': 4, 'Nigeria': 4, 'Netherlands': 166, 'Norway': 12, 'Oman': 10, 'Poland': 6, 'Romania': 12, 'Serbia': 8, 'Sweden': 16, 'South Africa': 2, 'England': 9, 'Yugoslavia': 3}"
"F.C. Iranjavan Bushehr","{'Iran, Islamic Republic of': 63}"
"FC Wien","{}"
"Zuglói MADISZ","{}"
"Yokohama Flügels","{'Iraq': 2, 'Japan': 54}"
"Empoli F.C.","{'Albania': 14, 'Australia': 6, 'Brazil': 2, 'Chile': 2, 'France': 10, 'Croatia': 2, 'Italy': 132, 'Jordan': 2, 'Poland': 2, 'Slovakia': 2, 'Slovenia': 2, 'Sweden': 2, 'Uruguay': 2}"
"Macclesfield Town F.C.","{'Germany': 4, 'United Kingdom': 2, 'Ireland': 9, 'Japan': 3, 'Norway': 2, 'England': 33, 'Wales': 6, 'Northern Ireland': 6}"
"S.S. Sambenedettese Calcio","{'France': 2, 'Italy': 8}"
"K.V.V. Crossing Elewijt","{'Belgium': 12}"
"Millonarios F.C.","{'Argentina': 62, 'Austria': 2, 'Brazil': 14, 'Chile': 2, 'Colombia': 260, 'Costa Rica': 2, 'Ecuador': 2, 'Spain': 10, 'France': 4, 'Iran, Islamic Republic of': 1, 'Israel': 2, 'Italy': 4, 'Montenegro': 6, 'Panama': 4, 'Peru': 10, 'Paraguay': 2, 'Serbia': 4, 'Chad': 2, 'Uruguay': 12, 'Venezuela, Bolivarian Republic of': 8, 'America': 45, 'Yugoslavia': 6}"
"Club Atlético San Miguel","{'Argentina': 10, 'Jersey': 3}"
"Newcastle KB United","{'Australia': 24, 'Wales': 9}"
"Valur (men's football)","{'Andorra': 2, 'Bulgaria': 2, 'Bosnia and Herzegovina': 2, 'Germany': 12, 'Croatia': 2, 'Hungary': 3, 'Iceland': 68, 'Monaco': 4, 'Moldova, Republic of': 1, 'Norway': 4, 'Slovenia': 4, 'Scotland': 18}"
"Atlético Club Mineros de Guayana","{'Argentina': 2, 'Colombia': 8, 'Chad': 4, 'Uruguay': 2, 'Venezuela, Bolivarian Republic of': 20, 'America': 18}"
"J.League U-22 Selection","{'Japan': 18, 'America': 6}"
"FK Smederevo","{'Andorra': 2, 'Austria': 2, 'Germany': 2, 'Hungary': 3, 'Montenegro': 60, 'Oman': 2, 'Serbia': 140, 'Yugoslavia': 60}"
"O.G.C. Nice","{'Argentina': 8, 'Austria': 2, 'Brazil': 4, 'China': 4, 'Colombia': 4, 'Spain': 6, 'France': 120, 'Haiti': 4, 'Israel': 2, 'Italy': 4, 'Jordan': 2, 'Luxembourg': 4, 'Monaco': 2, 'Mali': 8, 'Portugal': 4, 'Senegal': 4, 'Serbia': 4, 'Sweden': 4, 'America': 3, 'Yugoslavia': 18}"
"Vancouver Whitecaps (NASL)","{'Canada': 9, 'Jersey': 12, 'America': 171}"
"A.C. Fiorentina","{'Argentina': 6, 'Austria': 4, 'Brazil': 6, 'Chile': 6, 'Spain': 2, 'France': 10, 'Hungary': 27, 'Italy': 192, 'Jersey': 3, 'Morocco': 2, 'Peru': 4, 'Portugal': 2, 'Serbia': 2, 'Sweden': 4, 'Uruguay': 2, 'America': 3, 'Turkey': 3}"
"Vålerenga Fotball","{'Albania': 2, 'Austria': 6, 'Belgium': 2, 'Canada': 6, 'Cameroon': 2, 'Congo': 2, 'Costa Rica': 2, 'Denmark': 2, 'Finland': 4, 'Iran, Islamic Republic of': 1, 'Iceland': 8, 'Jamaica': 6, 'Lithuania': 2, 'Niger': 4, 'Nigeria': 4, 'Norway': 120, 'Serbia': 2, 'Sweden': 6, 'United States': 2}"
"Club Mariscal Castilla","{'Peru': 32}"
"Rotherham United F.C.","{'United Kingdom': 2, 'Ireland': 6, 'Iceland': 4, 'Jordan': 2, 'Uruguay': 2, 'England': 105, 'Scotland': 30, 'Wales': 6, 'Northern Ireland': 6}"
"Bolton Wanderers","{'Egypt': 6, 'United Kingdom': 4, 'Guinea': 2, 'Iraq': 2, 'Italy': 2, 'England': 33}"
"Real Club España","{'Mexico': 32, 'Oman': 2}"
"Gateway F.C.","{'Benin': 2, 'Cameroon': 2, 'Niger': 70, 'Nigeria': 70}"
"Tottenham Hotspur F.C.","{'Argentina': 4, 'Brazil': 12, 'Canada': 9, 'Switzerland': 2, 'China': 4, 'Germany': 4, 'France': 2, 'United Kingdom': 6, 'Hong Kong': 2, 'India': 16, 'Ireland': 9, 'Israel': 4, 'Jersey': 24, 'Korea, Republic of': 1, 'Oman': 4, 'South Africa': 6, 'England': 168, 'Scotland': 18, 'Wales': 15, 'Northern Ireland': 6, 'South Korea': 3}"
"PFC CSKA Moscow","{'Belgium': 2, 'Bulgaria': 4, 'Belarus': 12, 'Brazil': 24, 'Czechia': 1, 'Spain': 4, 'Finland': 6, 'Croatia': 12, 'Iceland': 2, 'Israel': 4, 'Jersey': 9, 'Liberia': 2, 'Latvia': 6, 'Monaco': 8, 'Niger': 4, 'Nigeria': 4, 'Netherlands': 2, 'Oman': 84, 'Portugal': 8, 'Serbia': 8, 'Turkmenistan': 3, 'Ukraine': 15, 'United States': 2, 'Virgin Islands, British': 1, 'America': 3, 'Yugoslavia': 24}"
"Racing FC Bafoussam","{'Cameroon': 20}"
"Chicago Spurs","{'Canada': 3, 'United States': 2, 'America': 30}"
"FCV Dender EH","{'Belgium': 16}"
"Spezia Calcio 1906","{'Australia': 3, 'France': 6, 'Croatia': 2, 'India': 6, 'Italy': 36, 'Jersey': 6, 'Malta': 2, 'Niger': 2, 'Nigeria': 2, 'America': 3}"
"FK Matador Púchov","{'Benin': 2, 'Central African Republic': 3, 'Malta': 2, 'Slovakia': 32}"
"BVSC Budapest","{'Spain': 4, 'Hungary': 18, 'Liechtenstein': 6, 'Wales': 9, 'Yugoslavia': 3}"
"S.L. Benfica","{'Angola': 10, 'Australia': 3, 'Brazil': 4, 'Canada': 3, 'China': 4, 'Spain': 4, 'France': 12, 'India': 2, 'Jersey': 6, 'Mozambique': 4, 'Malaysia': 9, 'Portugal': 428, 'United States': 2, 'Venezuela, Bolivarian Republic of': 1, 'America': 12}"
"Leicester City F.C.","{'Argentina': 4, 'Australia': 3, 'Austria': 8, 'Belgium': 4, 'Canada': 3, 'Germany': 4, 'Denmark': 8, 'Algeria': 4, 'Spain': 8, 'France': 4, 'United Kingdom': 4, 'Hungary': 3, 'Ireland': 15, 'Iceland': 2, 'Italy': 4, 'Jamaica': 6, 'Jordan': 6, 'Japan': 3, 'Monaco': 4, 'Niger': 2, 'Nigeria': 2, 'Portugal': 4, 'Thailand': 12, 'England': 153, 'Scotland': 9, 'Wales': 6, 'Northern Ireland': 12, 'Yugoslavia': 3}"
"FC Carl Zeiss Jena","{'Germany': 34, 'United States': 2, 'Wales': 9, 'America': 3}"
"Merthyr Tydfil F.C.","{'Wales': 24}"
"Wormatia Worms","{'Germany': 12, 'Jersey': 3, 'America': 3}"
"Linfield F.C.","{'Azerbaijan': 2, 'Bulgaria': 2, 'Bosnia and Herzegovina': 2, 'Brazil': 4, 'Switzerland': 2, 'Germany': 2, 'Faroe Islands': 9, 'Georgia': 9, 'Greece': 4, 'Ireland': 285, 'Iran, Islamic Republic of': 1, 'Jersey': 3, 'Jordan': 4, 'Liechtenstein': 2, 'Luxembourg': 2, 'Montenegro': 3, 'Netherlands': 6, 'Norway': 4, 'Oman': 2, 'Sweden': 2, 'England': 3, 'Scotland': 6, 'Wales': 9, 'Northern Ireland': 222}"
"SpVgg Erkenschwick","{'Germany': 6}"
"SBV Vitesse","{'Albania': 2, 'Austria': 6, 'Belgium': 22, 'Burkina Faso': 6, 'Bulgaria': 2, 'Bosnia and Herzegovina': 4, 'Brazil': 2, 'Switzerland': 2, 'China': 2, 'Cameroon': 6, 'Germany': 26, 'Denmark': 2, 'Ecuador': 4, 'Spain': 6, 'France': 14, 'United Kingdom': 2, 'Georgia': 27, 'Ghana': 24, 'Greece': 14, 'Ireland': 9, 'Israel': 4, 'Italy': 10, 'Jordan': 12, 'Japan': 6, 'Morocco': 6, 'Mali': 2, 'Niger': 4, 'Nigeria': 4, 'Netherlands': 378, 'Norway': 6, 'Oman': 16, 'Poland': 2, 'Portugal': 10, 'Romania': 12, 'Serbia': 22, 'Suriname': 2, 'Slovenia': 4, 'Sweden': 4, 'Chad': 2, 'United States': 2, 'South Africa': 2, 'Zimbabwe': 2, 'England': 39, 'Scotland': 15, 'Wales': 3, 'America': 6, 'Yugoslavia': 15}"
"FC Lugano","{'Switzerland': 10, 'France': 4, 'Latvia': 2, 'Oman': 2, 'America': 3}"
"Calcio Montebelluna","{'Italy': 10}"
"PFC Haskovo","{'Bulgaria': 68}"
"Club River Plate (Asunción)","{'Argentina': 8, 'Brazil': 2, 'Colombia': 2, 'Ecuador': 2, 'Japan': 3, 'Korea, Republic of': 1, 'Mexico': 4, 'Paraguay': 114, 'Uruguay': 2, 'South Korea': 3}"
"Nacional Montevideo","{'Argentina': 28, 'Austria': 2, 'Belgium': 4, 'Bolivia, Plurinational State of': 1, 'Brazil': 14, 'Switzerland': 2, 'Chile': 2, 'Colombia': 8, 'Spain': 2, 'France': 2, 'Greece': 2, 'Honduras': 2, 'Hungary': 3, 'Italy': 2, 'Jersey': 12, 'Mexico': 2, 'Netherlands': 2, 'Oman': 6, 'Peru': 2, 'Portugal': 2, 'Paraguay': 14, 'Chad': 6, 'Uruguay': 574, 'United States': 6, 'Venezuela, Bolivarian Republic of': 2, 'England': 3, 'Scotland': 3, 'America': 129}"
"Offenburger FV","{'Germany': 16, 'France': 2}"
"RSC Anderlecht","{'United Arab Emirates': 3, 'Argentina': 4, 'Austria': 4, 'Belgium': 42, 'Canada': 3, 'Czechia': 1, 'Denmark': 2, 'Spain': 4, 'France': 2, 'Guatemala': 2, 'Iceland': 2, 'Mexico': 2, 'Mali': 2, 'Netherlands': 6, 'Poland': 2, 'Serbia': 2, 'England': 3}"
"C.F. Oaxtepec","{'Mexico': 6}"
"Volán FC","{'Hungary': 6}"
"Club Deportivo Palestino","{'Argentina': 36, 'Brazil': 4, 'Chile': 210, 'Hungary': 3, 'Israel': 4, 'Jersey': 3, 'Oman': 2, 'Peru': 2, 'Paraguay': 2, 'El Salvador': 4, 'Thailand': 2, 'Uruguay': 8, 'England': 3, 'America': 27, 'Yugoslavia': 3}"
"A.D. Fafe","{'Portugal': 24}"
"FC KAMAZ Naberezhnye Chelny","{'Armenia': 4, 'Azerbaijan': 4, 'Bulgaria': 2, 'Bosnia and Herzegovina': 2, 'Belarus': 8, 'Czechia': 1, 'Germany': 2, 'France': 2, 'Georgia': 12, 'Jordan': 6, 'Kazakhstan': 8, 'Lithuania': 12, 'Moldova, Republic of': 4, 'Malawi': 4, 'Oman': 12, 'Poland': 2, 'Ukraine': 6}"
"K. Patro Eisden Maasmechelen","{'Belgium': 8, 'Jordan': 2}"
"Vitória S.C.","{'Belgium': 6, 'Switzerland': 2, 'Germany': 4, 'Denmark': 2, 'Spain': 12, 'France': 4, 'Croatia': 2, 'Hungary': 3, 'Italy': 4, 'Macao': 4, 'Netherlands': 6, 'Poland': 2, 'Portugal': 64, 'Slovakia': 4, 'Chad': 20, 'England': 15, 'Scotland': 6, 'Turkey': 6}"
"California Surf","{'Canada': 3, 'United States': 2, 'England': 9, 'America': 99}"
"Defensor Lima","{'Peru': 34, 'Venezuela, Bolivarian Republic of': 3, 'America': 3}"
"Blacktown City FC","{'Australia': 87, 'Croatia': 2, 'Jordan': 2, 'Peru': 4, 'Chad': 2, 'England': 15, 'Scotland': 9, 'Wales': 18}"
"Åtvidabergs FF","{'Austria': 2, 'Brazil': 4, 'Spain': 2, 'Hungary': 6, 'Sweden': 58, 'England': 3}"
"Fleisher Yarn","{'United States': 2, 'America': 27}"
"Racing Club de Avellaneda","{'Argentina': 178, 'Brazil': 4, 'Costa Rica': 2, 'Iran, Islamic Republic of': 1, 'Jersey': 9, 'Uruguay': 10, 'America': 24}"
"Panathinaikos FC","{'Albania': 4, 'Austria': 2, 'Brazil': 8, 'Cyprus': 4, 'Georgia': 6, 'Greece': 146, 'Croatia': 2, 'Israel': 2, 'Jersey': 3, 'Uruguay': 4, 'England': 3, 'America': 3, 'Turkey': 3}"
"1. FC Posen","{}"
"Atlético Bucaramanga","{'Argentina': 50, 'Bermuda': 3, 'Bolivia, Plurinational State of': 1, 'Brazil': 2, 'Cameroon': 2, 'Colombia': 180, 'Costa Rica': 4, 'Oman': 2, 'Panama': 4, 'Paraguay': 6, 'Romania': 3, 'Uruguay': 12, 'Venezuela, Bolivarian Republic of': 3, 'Yugoslavia': 3}"
